zip	latitude	longitude
03084	42.8	-71.9
03086	42.8	-71.8
03087	42.8	-71.3
03101	43.0	-71.5
03102	43.0	-71.5
03103	43.0	-71.4
03104	43.0	-71.4
03105	43.0	-71.5
03106	43.1	-71.4
03108	43.0	-71.5
03109	43.0	-71.4
03110	42.9	-71.5
03111	43.0	-71.5
03215	44.0	-71.5
03216	43.4	-71.8
03217	43.7	-71.6
03218	43.3	-71.3
03220	43.5	-71.5
03221	43.3	-72.0
03222	43.6	-71.8
03223	43.8	-71.7
03224	43.4	-71.6
03225	43.4	-71.2
03226	43.7	-71.5
03227	43.8	-71.5
03229	43.2	-71.7
03230	43.5	-71.9
03231	43.5	-71.7
03233	43.4	-71.9
03234	43.2	-71.4
03235	43.4	-71.6
03237	43.4	-71.4
03238	44.0	-71.9
03240	43.6	-72.0
03241	43.7	-71.8
03242	43.2	-71.8
03243	43.5	-71.7
03244	43.1	-71.9
03245	43.7	-71.6
03246	43.6	-71.5
03247	43.6	-71.4
03249	43.5	-71.4
03251	44.1	-71.7
03252	43.5	-71.5
03253	43.6	-71.5
03254	43.7	-71.4
03255	43.3	-72.0
03256	43.6	-71.6
03257	43.4	-72.0
03258	43.2	-71.4
03259	43.8	-71.4
03260	43.4	-71.9
03261	43.2	-71.2
03262	44.0	-71.7
03263	43.3	-71.3
03264	43.8	-71.7
03266	43.8	-71.8
03268	43.4	-71.7
03269	43.5	-71.6
03272	43.3	-72.0
03273	43.3	-71.9
03275	43.2	-71.4
03276	43.5	-71.6
03278	43.3	-71.8
03279	43.9	-71.9
03280	43.2	-72.1
03281	43.1	-71.7
03282	43.9	-71.9
03284	43.5	-72.0
03285	43.9	-71.6
03287	43.4	-71.9
03289	43.5	-71.5
03290	43.1	-71.1
03291	43.2	-71.1
03293	44.0	-71.7
03298	43.5	-71.4
03299	43.5	-71.4
03301	43.2	-71.5
03302	43.3	-71.7
03303	43.3	-71.7
03304	43.1	-71.5
03305	43.2	-71.5
03307	43.3	-71.5
03431	43.0	-72.3
03435	42.9	-72.3
03440	43.1	-71.9
03441	42.8	-72.4
03442	43.0	-71.9
03443	42.9	-72.5
03444	42.9	-72.1
03445	43.0	-72.2
03446	42.8	-72.3
03447	42.8	-72.1
03448	43.0	-72.3
03449	43.0	-72.0
03450	42.9	-72.1
03451	42.8	-72.5
03452	42.8	-72.0
03455	42.9	-72.2
03456	43.1	-72.2
03457	43.0	-72.1
03458	42.9	-71.9
03461	42.8	-72.0
03462	42.9	-72.4
03464	43.1	-72.1
03465	42.8	-72.2
03466	42.9	-72.5
03467	43.0	-72.4
03468	42.9	-71.9
03469	42.9	-72.3
03470	42.8	-72.3
03561	44.3	-71.8
03570	44.5	-71.2
03574	44.3	-71.7
03575	44.3	-71.4
03576	44.9	-71.5
03579	44.8	-71.1
03580	44.2	-71.8
03581	44.4	-71.2
03582	44.6	-71.5
03583	44.4	-71.5
03584	44.5	-71.6
03585	44.2	-71.9
03586	44.2	-71.8
03588	44.6	-71.2
03589	44.7	-71.4
03590	44.7	-71.6
03592	45.1	-71.4
03593	44.4	-71.3
03595	44.3	-71.5
03597	44.7	-71.4
03598	44.4	-71.6
03601	43.2	-72.3
03602	43.1	-72.3
03603	43.3	-72.4
03604	43.1	-72.4
03605	43.2	-72.2
03607	43.2	-72.3
03608	43.1	-72.4
03609	43.1	-72.4
03740	44.2	-72.0
03741	43.7	-72.0
03743	43.4	-72.3
03745	43.5	-72.3
03746	43.5	-72.3
03748	43.6	-72.1
03749	43.6	-72.1
03750	43.7	-72.2
03751	43.4	-72.1
03752	43.3	-72.1
03753	43.5	-72.1
03754	43.4	-72.1
03755	43.7	-72.3
03756	43.6	-72.3
03765	44.0	-72.1
03766	43.6	-72.2
03768	43.8	-72.2
03769	43.8	-72.1
03770	43.5	-72.3
03771	44.3	-72.0
03773	43.4	-72.2
03774	44.1	-72.0
03777	43.9	-72.1
03779	44.0	-72.1
03780	44.0	-72.0
03781	43.6	-72.3
03782	43.4	-72.1
03784	43.6	-72.3
03785	44.2	-72.0
03801	43.1	-70.8
03802	43.1	-70.8
03803	43.1	-70.8
03804	43.1	-70.8
03809	43.5	-71.2
03810	43.5	-71.2
03811	42.8	-71.2
03812	44.1	-71.3
03813	44.0	-71.1
03814	43.8	-71.1
03815	43.3	-71.1
03816	43.7	-71.3
03817	43.9	-71.2
03818	44.0	-71.2
03819	42.9	-71.1
03820	43.2	-70.9
03821	43.2	-70.9
03822	43.2	-70.9
03823	43.2	-70.9
03824	43.1	-70.9
03825	43.2	-71.0
03826	42.9	-71.1
03827	42.9	-71.0
03830	43.6	-71.0
03832	43.9	-71.1
03833	43.0	-70.9
03835	43.4	-71.1
03836	43.8	-71.1
03837	43.4	-71.3
03838	44.1	-71.2
03839	43.3	-71.0
03840	43.0	-70.8
03841	42.9	-71.2
03842	42.9	-70.8
03843	43.0	-71.0
03844	42.9	-70.9
03845	44.1	-71.1
03846	44.2	-71.2
03847	44.1	-71.1
03848	42.9	-71.1
03849	43.9	-71.1
03850	43.7	-71.3
03851	43.4	-71.0
03852	43.5	-71.0
03853	43.6	-71.3
03854	43.1	-70.7
03855	43.4	-71.1
03856	43.0	-71.0
03857	43.1	-71.0
03858	42.9	-71.0
03859	42.9	-71.0
03860	44.0	-71.1
03861	43.1	-71.0
03862	43.0	-70.8
03864	43.7	-71.1
03865	42.8	-71.1
03866	43.3	-71.0
03867	43.3	-71.0
03868	43.3	-70.9
03869	43.2	-70.8
03870	43.0	-70.8
03871	43.0	-70.8
03872	43.6	-71.0
03873	42.9	-71.2
03874	42.9	-70.9
03875	43.9	-71.2
03878	43.3	-70.9
